District,Beds,Nursing_Center,Pop,GDP,GDPpc,Province,Year,Lagged_Beds,Poorer
Fusui County,0.11,13,45.35,99.62,21966.92393,Guangxi,2012,0.09,1
Xiangzhou County,0.09,13,35.89,83.73,23329.61828,Guangxi,2012,0.07,1
Wuxuan County,0.15,12,43.66,84.33,19315.16262,Guangxi,2012,0.1,1
Xilin County,0.05,12,15.63,14.79,9462.571977,Guangxi,2012,0.04,1
Longan County,0.14,12,40.53,49.64,12247.71774,Guangxi,2012,0.12,1
Tianyang County,0.09,15,34.82,69.06,19833.42906,Guangxi,2012,0.08,1
Rongan County,0.11,13,32.14,50.73,15784.0697,Guangxi,2012,0.1,1
Cangwu County,0.1,16,60.79,146.16,24043.4282,Guangxi,2012,0.1,1
Nandan County,0.08,13,30.89,66.3,21463.25672,Guangxi,2012,0.08,1
Leye County,0.03,9,17.17,15.08,8782.760629,Guangxi,2012,0.03,1
Liujiang County,0.11,16,55.1,157.45,28575.3176,Guangxi,2012,0.1,1
Xing'an County,0.09,13,38.18,123.98,32472.49869,Guangxi,2012,0.09,1
Xingye County,0.11,15,75.38,98.28,13037.9411,Guangxi,2012,0.1,1
Jingxi County,0.13,21,65.5,103.05,15732.82443,Guangxi,2012,0.11,1
Longsheng Gezu Autonomous County,0.04,12,17.79,40.59,22816.18887,Guangxi,2012,0.04,1
Pubei County,0.19,17,91.65,114.99,12546.64484,Guangxi,2012,0.18,1
Luchuan County,0.19,17,106.84,167.19,15648.63347,Guangxi,2012,0.16,1
Zhaoping County,0.08,15,43.67,51.27,11740.32517,Guangxi,2012,0.07,1
Tiandeng County,0.09,15,45.29,40.76,8999.779201,Guangxi,2012,0.08,1
Donglan County,0.07,16,30.22,17.8,5890.138981,Guangxi,2012,0.06,1
Lipu County,0.1,15,38.49,99.16,25762.53572,Guangxi,2012,0.09,1
Shanglin County,0.09,15,48.91,40.31,8241.66837,Guangxi,2012,0.07,1
Dahua Yao Autonomous County,0.09,19,46.22,35.56,7693.639117,Guangxi,2012,0.08,1
Pingle County,0.1,13,44.82,78.77,17574.74342,Guangxi,2012,0.08,1
Fuchuan Yao Autonomous County,0.07,16,32.19,46.69,14504.5045,Guangxi,2012,0.06,1
